number of movies per year
 700 2014
 659 2013
 629 2015
 588 2012
 540 2011
 533 2009
 496 2008
 490 2010
 438 2007
 408 2006
 364 2005
 307 2004
 281 2003
 266 2002
 242 2001
 227 2000
 224 1999
 210 1998
 204 1996
 192 1997
 184 1994
 178 1993
 175 1995
 145 1988
 137 1989
 133 1992
 133 1991
 132 1990
 125 1987
 121 1986
 109 1985
 105 1984
  82 1981
  81 1982
  80 1983
  78 1980
  65 1978
  57 1979
  57 1977
  55 1973
  55 1971
  47 1976
  47 1974
  46 1966
  44 1975
  42 1964
  41 1970
  40 1972
  40 1967
  39 1968
  35 1965
  34 1963
  32 1962
  32 1960
  31 1969
  31 1961
